Date,Pixel Row,Pixel Col,Red,Green,Blue,Chlorophyll,Plant Health
09.20.2024,17971,8955,0.6313725490196078,0.5647058823529412,0.47058823529411764,28.3,3.0
09.20.2024,17456,8700,0.5843137254901961,0.5254901960784314,0.45098039215686275,16.2,3.0
09.20.2024,17214,8732,0.43137254901960786,0.3607843137254902,0.28627450980392155,24.9,2.0
09.20.2024,14014,6389,0.44313725490196076,0.4196078431372549,0.3411764705882353,25.6,3.0
09.20.2024,13437,7417,0.45098039215686275,0.42745098039215684,0.3176470588235294,9.6,5.0
09.20.2024,13506,7451,0.47058823529411764,0.48627450980392156,0.3607843137254902,28.3,2.0
09.20.2024,14630,8146,0.27058823529411763,0.2549019607843137,0.24313725490196078,31.0,3.0
09.20.2024,16455,9663,0.4549019607843137,0.3843137254901961,0.3333333333333333,25.8,2.0
09.20.2024,16940,10405,0.5176470588235295,0.47058823529411764,0.396078431372549,31.3,2.0
09.20.2024,15329,9218,0.403921568627451,0.5294117647058824,0.3764705882352941,37.4,2.0
09.20.2024,13429,7423,0.5686274509803921,0.5098039215686274,0.4392156862745098,25.8,3.0
09.20.2024,12707,8044,0.6313725490196078,0.6352941176470588,0.5764705882352941,28.4,3.0
09.20.2024,12662,8464,0.3843137254901961,0.34901960784313724,0.3607843137254902,21.5,3.0
09.20.2024,13187,8487,0.4627450980392157,0.4980392156862745,0.3843137254901961,25.1,2.0
09.20.2024,14933,10133,0.4117647058823529,0.4196078431372549,0.3137254901960784,22.4,3.0
09.20.2024,15790,10791,0.3137254901960784,0.4117647058823529,0.2549019607843137,12.0,2.0
09.20.2024,15892,11203,0.49019607843137253,0.38823529411764707,0.3137254901960784,26.0,3.0
09.20.2024,13337,9279,0.40784313725490196,0.4196078431372549,0.3607843137254902,27.5,2.0
09.20.2024,12077,9319,0.5803921568627451,0.6352941176470588,0.47843137254901963,20.1,3.0
09.20.2024,12945,14066,0.5686274509803921,0.5098039215686274,0.47058823529411764,26.3,2.0
09.20.2024,9754,11801,0.6078431372549019,0.6274509803921569,0.5490196078431373,22.5,3.0
09.20.2024,11541,12578,0.41568627450980394,0.5254901960784314,0.396078431372549,29.5,3.0
09.20.2024,11563,14374,0.7372549019607844,0.6941176470588235,0.6666666666666666,31.7,2.0
09.20.2024,8763,13928,0.43529411764705883,0.4235294117647059,0.3764705882352941,25.7,2.0
09.20.2024,8351,13566,0.592156862745098,0.5137254901960784,0.4627450980392157,35.3,3.0
